location_name,fips,val_2000,val_2001,val_2002,val_2003,val_2004,val_2005,val_2006,val_2007,val_2008,val_2009,val_2010,val_2011,val_2012,val_2013,val_2014,val_2015,val_2016,val_2017,val_2018,val_2019
Abbeville County (South Carolina),45001.0,75.9804196701374,75.9811608600071,75.9161647608674,75.9662043299325,76.3194162202651,76.2073187308825,76.4532796989513,76.6537635323834,76.4916066471238,76.6270882811286,76.650860623037,76.5931571005324,76.5546140449695,76.3910401899193,76.3609275403791,76.1123988828484,76.136702918593,75.9393059825353,76.0714535729022,76.2480488633423
Acadia Parish (Louisiana),22001.0,72.8169523354729,72.8480285713254,72.7495002754487,72.8166914287652,73.1020271359231,72.8506745144346,73.0249966664476,73.2875846401112,73.5664547955564,73.8746355864613,74.0882839339022,74.0211356431401,74.1337017498536,74.2235221849913,74.2748694304924,74.1527304498507,74.0522499148749,73.9999754497315,74.2374690765668,74.5671405045502
Accomack County (Virginia),51001.0,74.1014979516758,74.1667215583561,74.0754957230288,74.1948504693921,74.5730768609857,74.4933976341951,74.819760247891,75.0073068691724,75.0621368208687,75.4051464934049,75.6796786025715,75.6511329533047,75.7989407016313,75.8443477868629,75.7806579304259,75.6531302445985,75.3764671515865,75.4625664894611,75.5907465628483,75.809517106311
Ada County (Idaho),16001.0,78.9528429616111,79.0585726824127,79.0351811168173,79.1613206817597,79.5302938664736,79.4632479763835,79.7206744886108,79.939107053488,80.0402861963668,80.3785521759803,80.4659988746763,80.5278211260016,80.6992086312901,80.6881503004562,80.786120813033,80.6255477938808,80.6492124178609,80.5623842009789,80.7694769978456,80.936014639849
Adair County (Iowa),19001.0,78.048044350862,78.1198280956739,78.0850088558477,78.1973292701641,78.5492627865482,78.3791551654825,78.523619316722,78.7178548951192,78.5858233622588,78.9732498289042,79.0719832268639,78.9285871641373,78.7605442780773,78.6769196811541,78.7511810040337,78.41680849805,78.2722216745053,78.0811397489124,78.191305734376,78.2551121361173
Adair County (Kentucky),21001.0,76.1929885101852,76.2042417581819,76.1208464487588,76.2207389455138,76.5066284162436,76.3932759427615,76.5280989959597,76.8295547298525,76.7618571774105,76.8623353912664,77.129321845096,76.8422741120109,76.8951273884187,76.7896372811212,76.7818979280234,76.4075090413772,76.3512048679056,76.3245577659512,76.5136462640591,76.6118721957864
Adair County (Missouri),29001.0,77.1167778451988,77.0805014324255,76.9345376551866,76.9516197762474,77.1884565643366,76.9819310694911,77.0733581536914,77.1338008463742,77.2456476768743,77.6862686792326,77.7360447710525,77.7788039243961,77.8202009710449,77.8922475508622,77.8892925540625,77.8716773419445,77.4996674039276,77.4368641875169,77.6195409372396,77.8101753635588
Adair County (Oklahoma),40001.0,72.6577841986339,72.6881977238828,72.6347870654281,72.7207883219257,73.0385575414798,72.8819616687231,72.9922242792602,73.1514541795283,73.0840625094624,73.3584435412702,73.5445697709941,73.7393014655215,73.6569132504799,73.6254381636107,73.6254614782919,73.4055497369832,73.1135695295482,73.0339399700148,73.3059900539054,73.5465287622819
Adams County (Colorado),8001.0,77.8442054951763,77.9345175040598,78.0817828372903,78.2545067004386,78.6863763623173,78.6917495858966,78.9730924391339,79.2169056664601,79.3113078858121,79.7303437018845,79.9068221609136,79.9350044398158,80.0651767732563,80.114402788454,80.2789722027987,80.1877591253775,80.2432338592034,80.2868507759135,80.5457104115307,80.7776770732522
Adams County (Idaho),16003.0,79.0098476257718,79.0751959056079,79.101867851948,79.3009518645288,79.7951060440636,79.8127917393913,79.8896367687658,80.278082840502,80.362583530052,80.5708772976901,80.6177829884253,80.6813203572487,80.6512582796805,80.7777420258914,81.0855696479483,80.5863175909013,80.4585907587652,80.3383008383321,80.5140845182445,80.7342053228818
Adams County (Illinois),17001.0,77.0383564649629,77.0783305178028,77.0102184756676,77.0877754930911,77.4284797426673,77.3232278419154,77.4477246751564,77.7220972605026,77.7296816859293,78.0170074076698,78.2155047259361,78.2482530376764,78.3489124357671,78.2117958066337,78.3569255689483,78.1718694913787,78.2364724987973,78.0555591364872,78.3241804008291,78.4108241377861
Adams County (Indiana),18001.0,77.9054681197599,78.0598572930981,78.0940671890371,78.2864117947108,78.770299002774,78.7810820070056,78.9501480881188,79.1736102948744,78.9046093598924,79.2392254466446,79.3712485200352,79.3476355651072,79.10863905292,79.083855716864,79.1280761433617,78.7362279984462,78.6099265181178,78.4062056414824,78.6019930288169,78.5134479392771
